id,question,choice1,choice2,choice3,correctAnswerIndex
38,"The studying of which magic by Kel'Thuzad led to his expulsion from Dalaran?","Void","Necromancy","Fel",1,WARCRAFT
39,"Whose soul did Frostmourne claim first?","Uther","Terenas","Arthas",2,WARCRAFT
40,"Who betrayed Gnomeregan during the Troggs' invasion?","Razlo Crushcog","Sicco Thermaplugg","Telzo Sparkspanner",1,WARCRAFT
41,"Which Troll tribe resides on Kalimdor?","Amani","Gurubashi","Faraki",2,WARCRAFT
42,"Who founded the Sunstrider dynasty?","Dath'Remar","Anasterian","Lyandra",0,WARCRAFT
43,"Whose blood enslaved the Orcs in Kalimdor?","Magtheridon","Mannoroth","Anetheron",1,WARCRAFT
44,"How many of the Zanchuli Council betrayed King Rastakhan?","Two","Four","Three",1,WARCRAFT
45,"In his quest for revenge, where did Arthas and his army land on Northrend?","Dragonblight","Borean Tundra","Grizzly Hills",0,WARCRAFT
46,"Who was not approached by Medivh to sail west before the Legion's invasion?","Antonidas","Jaina","Daelin",2,WARCRAFT
47,"Which Dreadlord served and eventually betrayed Sylvanas?","Tichondrius","Varimathras","Detheroc",1,WARCRAFT
48,"What is the capital of the Draenei?","Azuremyst","The Exodar","Shattrath",1,WARCRAFT
49,"Which Orc did Maiev aid on the Broken Isles?","Drek'thar","Drak'thul","Samuro",1,WARCRAFT
50,"What is the name of the paladin who aided Maiev, Kael and Malfurion in Dalaran's ruins?","Magroth","Sage","Ballador",0,WARCRAFT
51,"Who threatened the Tauren until they were aided by the Horde?","Centaurs","Harpies","Kobolds",0,WARCRAFT
52,"What was the name of the Plaguelands before the Scourge invasion?","Avalon","Thondroril","Eastweald",2,WARCRAFT
53,"Following the disintegration of Old Arathor, which Human Kingdom inherited its capital?","Alterac","Stromgarde","Gilneas",1,WARCRAFT
54,"Which Titan constructs maintained the facilities of Uldum?","Tol'vir","Keepers","Refti",0,WARCRAFT
55,"Which Titan constructs lost their way and ruled Pandaria with an iron fist?","Anubisaths","Mogu","Vrykul",1,WARCRAFT
56,"How many Humans were taught magic by the High Elves in exchange for their aid against the Amani?","20","50","100",2,WARCRAFT
57,"Who was the last King of Ironforge?","Magni","Dagran","Kurdran",0,WARCRAFT
58,"Where did the War of the Shifting Sands primarily take place?","Tanaris","Silithus","Blasted Lands",1,WARCRAFT
59,"What is the Headless Horseman's real name?","Nicholas Dverenhoff","Duthorian Rall","Thomas Thomson",2,WARCRAFT
60,"Which planet's Worldsoul consumed much of the world's Spirit, resulting in elemental chaos?","Azeroth","K'aresh","Argus",0,WARCRAFT
61,"What is the name of the sea to the west of Kalimdor?","Veiled Sea","Frozen Sea","Forbidding Sea",0,WARCRAFT
62,"Near which world did the Pantheon of Order confront Sargeras?","Xerrath","Nihilam","Shar'gel",1,WARCRAFT
63,"How many known continents does Azeroth have?","Five","Three","Four",2,WARCRAFT
64,"What is the Mantid's seat of power called during Mists of Pandaria?","Klaxxi'vess","Heart of Fear","Terrace of Gurthan",1,WARCRAFT
65,"Which Kul Tiran noble house did not partake in the Invasion of Durotar?","Proudmoore","Waycrest","Ashvane",1,WARCRAFT
66,"Following Zul's betrayal, which race was represented for the first time on the Zanchuli Council?","Forest Troll","Vulpera","Tortollan",2,WARCRAFT
67,"How many members did the Titan Pantheon have at its peak?","Six","Seven","Five",1,WARCRAFT
68,"Who of the Titans served Sargeras before the creation of the Legion?","Aggramar","Golganneth","Khaz'goroth",0,WARCRAFT
69,"Which of these descended from the Aqir who traveled to Northrend?","Qiraji","N'raqi","Nerubians",2,WARCRAFT
7000,"Which planet is the homeworld of the Protoss?","Ulnar","Aiur","Shakuras",1,STARBLO
7001,"Who did not take part in the creation of Sanctuary?","Inarius","Mephisto","Lilith",1,STARBLO
7002,"Who created the Overmind?","Narud","The UED","Amon",2,STARBLO
7003,"Where did the Primal Zerg come from?","Zerus","Mar Sara","Char",0,STARBLO
7004,"How many Prime and Lesser Evils lead the Burning Hells?","6","5","7",2,STARBLO
7005,"How many Archangels lead the High Heavens after Malthael's departure?","4","3","5",1,STARBLO
7006,"From where did Hell resume their invasion of Sanctuary in Diablo 1?","Tristram","Caldeum","Kurast",0,STARBLO
7007,"Where did the Khalai Protoss flee to after the Zerg took over their homeworld?","Glacius","Meinhoff","Shakuras",2,STARBLO
7008,"Which Protoss faction formed after they were exiled for rejecting the Khala?","Nerazim","Ihan-rii","Tal'darim",0,STARBLO
7009,"On which planet was the most powerful Terran faction formed when they arrived in the Koprulu Sector?","Moria","Tarsonis","Umoja",1,STARBLO
7010,"In which year did the UED begin preparations to take control over the colonies?","2506","2500","2499",2,STARBLO
7011,"What is the name of the special operatives of the Dominion?","Wraith","Ghost","Spectre",1,STARBLO
7012,"Before and during the Brood War, who were in charge of leading the many different Zerg armies?","Queens","Cerebrates","Overlords",1,STARBLO
